城市,年月,产成品,工业用电量,人均公园绿地面积,绿化覆盖率,生产用水量,人均日生活用水量,月降水量,月平均气温,常住人口,空气质量综合指数
常州,2022年9月,940.54,456.39,15.7,44.8,14170,257.1,110.8,25.3,536.62,3.23
常州,2022年10月,940.54,456.39,15.7,44.8,14170,257.1,19.1,19.3,536.62,3.22
常州,2022年11月,940.54,456.39,15.7,44.8,14170,257.1,17.4,13.1,536.62,3.9
常州,2022年12月,940.54,456.39,15.7,44.8,14170,257.1,44.2,5.1,536.62,4.57
常州,2023年1月,940.54,466.36,15.7,44.8,14170,257.1,28.3,5,537.5,
常州,2023年2月,940.54,466.36,15.7,44.8,14170,257.1,67.1,6.4,537.5,
常州,2023年3月,940.54,466.36,15.7,44.8,14170,257.1,60.9,13,537.5,
常州,2023年4月,940.54,466.36,15.7,44.8,14170,257.1,41.1,17.4,537.5,
常州,2023年5月,940.54,466.36,15.7,44.8,14170,257.1,69.7,22.1,537.5,
常州,2023年6月,940.54,466.36,15.7,44.8,14170,257.1,382,26,537.5,
常州,2023年7月,940.54,466.36,15.7,44.8,14170,257.1,280.8,29.4,537.5,
常州,2023年8月,940.54,466.36,15.7,44.8,14170,257.1,96.4,28.6,537.5,
常州,2023年9月,940.54,466.36,15.7,44.8,14170,257.1,110.8,25.3,537.5,
常州,2023年10月,940.54,466.36,15.7,44.8,14170,257.1,19.1,19.3,537.5,
常州,2023年11月,940.54,466.36,15.7,44.8,14170,257.1,17.4,13.1,537.5,
常州,2023年12月,940.54,466.36,15.7,44.8,14170,257.1,44.2,5.1,537.5,
徐州,2018年7月,387.32,219.91,17.6,43.2,13777,149.9,254.3,28.8,903.35,3.58
徐州,2018年8月,387.32,219.91,17.6,43.2,13777,149.9,126,28.3,903.35,4.1
徐州,2018年9月,387.32,219.91,17.6,43.2,13777,149.9,127.3,23.9,903.35,4.74
徐州,2018年10月,387.32,219.91,17.6,43.2,13777,149.9,8.6,18.3,903.35,6.5
徐州,2018年11月,387.32,219.91,17.6,43.2,13777,149.9,18.5,10,903.35,7.03
徐州,2018年12月,387.32,219.91,17.6,43.2,13777,149.9,19.3,2.3,903.35,6.74
徐州,2019年1月,387.32,229.54,17.6,43.2,13777,149.9,26,2,906.28,7.5
徐州,2019年2月,387.32,229.54,17.6,43.2,13777,149.9,31.1,5.1,906.28,7.05
徐州,2019年3月,387.32,229.54,17.6,43.2,13777,149.9,10,12.9,906.28,5.85
徐州,2019年4月,387.32,229.54,17.6,43.2,13777,149.9,60.1,16.4,906.28,4.9
徐州,2019年5月,387.32,229.54,17.6,43.2,13777,149.9,202.8,21.8,906.28,4.64
徐州,2019年6月,387.32,229.54,17.6,43.2,13777,149.9,70.6,26.6,906.28,4.37
徐州,2019年7月,387.32,229.54,17.6,43.2,13777,149.9,254.3,28.8,906.28,3.66
徐州,2019年8月,387.32,229.54,17.6,43.2,13777,149.9,126,28.3,906.28,3.46
徐州,2019年9月,387.32,229.54,17.6,43.2,13777,149.9,127.3,23.9,906.28,4.7
徐州,2019年10月,387.32,229.54,17.6,43.2,13777,149.9,8.6,18.3,906.28,5.26
徐州,2019年11月,387.32,229.54,17.6,43.2,13777,149.9,18.5,10,906.28,5.97
徐州,2019年12月,387.32,229.54,17.6,43.2,13777,149.9,19.3,2.3,906.28,6.13
徐州,2020年1月,387.32,219.17,17.6,43.2,13777,149.9,26,2,908.39,7.12
徐州,2020年2月,387.32,219.17,17.6,43.2,13777,149.9,31.1,5.1,908.39,4.18
徐州,2020年3月,387.32,219.17,17.6,43.2,13777,149.9,10,12.9,908.39,4.76
徐州,2020年4月,387.32,219.17,17.6,43.2,13777,149.9,60.1,16.4,908.39,4.58
徐州,2020年5月,387.32,219.17,17.6,43.2,13777,149.9,202.8,21.8,908.39,4.24
徐州,2020年6月,387.32,219.17,17.6,43.2,13777,149.9,70.6,26.6,908.39,3.96
徐州,2020年7月,387.32,219.17,17.6,43.2,13777,149.9,254.3,28.8,908.39,3.33
徐州,2020年8月,387.32,219.17,17.6,43.2,13777,149.9,126,28.3,908.39,3.24
徐州,2020年9月,387.32,219.17,17.6,43.2,13777,149.9,127.3,23.9,908.39,4.43
徐州,2020年10月,387.32,219.17,17.6,43.2,13777,149.9,8.6,18.3,908.39,5.17
徐州,2020年11月,387.32,219.17,17.6,43.2,13777,149.9,18.5,10,908.39,5.37
徐州,2020年12月,387.32,219.17,17.6,43.2,13777,149.9,19.3,2.3,908.39,6.91
徐州,2021年1月,387.32,229.4,17.6,43.2,13777,149.9,26,2,902.85,6.48
徐州,2021年2月,387.32,229.4,17.6,43.2,13777,149.9,31.1,5.1,902.85,4.23
